rank,sector,group,ticker_a,ticker_b,latest_corr,min_corr,std_corr,passed_stage_a,pvalue_ab,pvalue_ba,cointegrated,hedge_ratio,n_crossings,passed_stage_b
1,Communication Services,Telecom Services (1),CHTR,LBRDA,0.960671869587993,0.9582069410591046,0.0009182006415912,True,2.2608963354221344e-15,2.621042679003473e-15,True,4.3254247238274015,41.0,True
2,Financial Services,Banks - Regional (1),PNC,FITB,0.8171388357265882,0.77442967019684,0.0141822501785295,True,0.0028988278798868,0.0024638623754376,True,3.794100110132195,35.0,True
3,Financial Services,Banks - Regional (1),FITB,CBSH,0.6617893524269272,0.6617893524269272,0.0198936459430288,True,0.0009069459972514,0.0014667389127152,True,1.184799478436552,32.0,True
4,Consumer Cyclical,Residential Construction,SKY,KBH,0.732321546189768,0.7083338670640201,0.0097798912463693,True,0.000654862346916,0.0021593923916223,True,1.3423967108297945,31.0,True
5,Technology,Electronic Components (1),JBL,TTMI,0.6992707837842861,0.6807780550177943,0.0097708977372274,True,0.0109198257281255,0.0128060323160514,True,1.1953391616945177,29.0,True
6,Consumer Cyclical,Residential Construction,TOL,SKY,0.7484852783559923,0.7484852783559923,0.0029525532261975,True,0.0011920110233501,0.000478221695434,True,1.160300141647117,29.0,True
7,Financial Services,Banks - Diversified,JPM,BAC,0.766470523084134,0.7608590464734816,0.0120166446996309,True,0.0002834288097725,0.0004895481440751,True,4.18561581400861,29.0,True
8,Technology,Electronic Components (1),JBL,LFUS,0.6844016940846406,0.6844016940846406,0.0088461389752077,True,0.0273879720555893,0.0178255912169129,True,0.8294897827855092,27.0,True
9,Consumer Cyclical,Residential Construction,PHM,SKY,0.7604436943118267,0.7604436943118267,0.0163945078321342,True,0.0003912114233217,0.0001007903436284,True,1.0043858154534264,27.0,True
10,Consumer Cyclical,Residential Construction,PHM,KBH,0.8204624606829386,0.80460592874874,0.0069512067306358,True,0.0214753465205194,0.0259127855929898,True,1.4528514446559266,26.0,True
11,Financial Services,Asset Management (2),BX,KKR,0.8192393947630606,0.796741363019649,0.0101653811701897,True,0.0018140588992016,0.0007826306835031,True,1.2619818230051374,26.0,True
12,Technology,Information Technology Services (1),CTSH,GLOB,0.7331350694557244,0.6847869871689551,0.0190757655228339,True,0.0083566617352827,0.0052203907358335,True,1.122774053912431,25.0,True
13,Technology,Software - Application (3),MNDY,ASAN,0.7536876898889514,0.7536876898889514,0.0161238451684283,True,0.0132902925450931,0.0191747566095853,True,11.129614839887346,25.0,True
14,Technology,Semiconductor Equipment & Materials (1),KLAC,UCTT,0.8147990459431919,0.7868032016187276,0.0179559128646388,True,0.0334713675373488,0.0108214115789472,True,1.6368779792970056,24.0,True
15,Consumer Cyclical,Residential Construction,MTH,GRBK,0.7591276008533718,0.6978915921503096,0.0218733130596413,True,0.0016533917477805,0.0013123144418541,True,1.2218232742270791,24.0,True
16,Technology,Semiconductors (1),LSCC,AIP,0.7192660830206383,0.6516408563521698,0.022154265412826,True,0.0202785405142751,0.0333228903475917,True,2.118568654054028,23.0,True
17,Financial Services,Asset Management (4),AMP,RJF,0.768333346715903,0.768333346715903,0.0127311349294794,True,0.0296326521112462,0.011264803716213,True,3.2101077391909247,23.0,True
18,Financial Services,Banks - Regional (1),FITB,MTB,0.7670375344144632,0.7592312826330164,0.0059581919249209,True,0.0188408536007076,0.0217790088107352,True,0.2776299322334409,23.0,True
19,Technology,Electronic Components (1),PLXS,BHE,0.7414684228668975,0.7079971419523565,0.0120592848922591,True,0.0197252806800062,0.0224539375674184,True,2.4067155227680384,22.0,True
20,Consumer Cyclical,Packaging & Containers,CCK,GEF,0.7472622690481537,0.7087626088066008,0.0195183407928499,True,0.019918923481409,0.0238762024292734,True,1.421091099226183,22.0,True
21,Technology,Software - Application (2),CRM,ADBE,0.7664478312961704,0.6919061087747037,0.0375654643606144,True,0.0087582662592798,0.0250518195445847,True,0.6292574370716648,21.0,True
22,Consumer Cyclical,Residential Construction,TOL,KBH,0.7345941207702974,0.6941089590661859,0.0162699975438813,True,0.0127892800255971,0.028907719409305,True,1.6457975935303235,21.0,True
23,Financial Services,Capital Markets (3),HUT,CLSK,0.6740854888038144,0.661530989884359,0.011317246570809,True,0.0256798305028552,0.0204869632526449,True,9.337989198255084,17.0,True
24,Financial Services,Capital Markets (3),RIOT,CLSK,0.7052107132171642,0.7047739599024797,0.0149071863596938,True,0.004025950108988,0.0033989236718921,True,1.6761305717428958,16.0,True
25,Consumer Cyclical,Residential Construction,CVCO,GRBK,0.7295455863773886,0.7295455863773886,0.0149861813778325,True,0.0001112274721979,0.0164580474184103,True,7.533825234856135,14.0,True
26,Consumer Cyclical,Lodging,MAR,HLT,0.815394651378209,0.815394651378209,0.0082988643039437,True,0.2805809893017873,0.2714553022181802,False,1.4498393175625528,31.0,False
27,Consumer Cyclical,Packaging & Containers,SW,AMCR,0.7106804736373487,0.6606246135784962,0.022760937086198,True,0.0218991083266084,0.0950374755251079,False,0.732951523605625,31.0,False
28,Consumer Cyclical,Residential Construction,TOL,GRBK,0.7773862591022085,0.7734656470790982,0.0055683714874936,True,0.1315327319843273,0.0588115026052402,False,1.7457362936893135,30.0,False
29,Technology,Semiconductor Equipment & Materials (1),UCTT,ICHR,0.8639796550212863,0.8214865042543144,0.0151364092246789,True,0.3288029807050969,0.3957065511981272,False,1.048329621284143,27.0,False
30,Consumer Cyclical,Residential Construction,PHM,TOL,0.8706457153719331,0.8706457153719331,0.0087539577092711,True,0.242440231356753,0.2273050455519707,False,0.7973430043357301,27.0,False
31,Consumer Cyclical,Residential Construction,TOL,CVCO,0.664525460070785,0.664525460070785,0.0077620671651329,True,0.0582638247787749,0.4364716683292051,False,0.1410817292311225,27.0,False
32,Consumer Defensive,Household & Personal Products,KVUE,KMB,0.8814689068101859,0.8600664199487112,0.0090360506275763,True,0.4966441549790164,0.5118457473878906,False,0.1358001349541288,27.0,False
33,Financial Services,Banks - Regional (2),WTFC,RNST,0.7769504345031929,0.6817745164283041,0.0521557352385226,True,0.0555061351004297,0.0487552402374627,False,3.4707821598082744,27.0,False
34,Technology,Semiconductor Equipment & Materials (1),ENTG,ONTO,0.7642519703998378,0.7157914204434477,0.0241528505797986,True,0.0223496479291785,0.095005771193605,False,0.3167316631812971,26.0,False
35,Consumer Cyclical,Lodging,HLT,H,0.7875874724811815,0.7487881521471023,0.0158205335159303,True,0.1694195924573497,0.4592244712639057,False,0.768215553415652,26.0,False
36,Financial Services,Asset Management (4),CRBG,EQH,0.8377277950517962,0.8324312044723728,0.0140400703534714,True,0.1847493506445439,0.6494742127752899,False,0.7397546368951291,26.0,False
37,Technology,Software - Infrastructure (2),PLTR,RBRK,0.6668540489332334,0.6668540489332334,0.0226546728527455,True,0.0011904908769034,0.2041598074227087,False,-0.3689065311968911,25.0,False
38,Technology,Electronic Components (1),JBL,PLXS,0.6992556241453391,0.6992556241453391,0.015353050967718,True,0.0554979793144222,0.2507939943410444,False,1.256115036132738,25.0,False
